X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
10,11,10,11,12,14,14,15,18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11
11,10,11,12,14,14,15,18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12
10,11,12,14,14,15,18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11
11,12,14,14,15,18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10
12,14,14,15,18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10
14,14,15,18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13
14,15,18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14
15,18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15
18,18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17
18,19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17
19,21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18
21,19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21
19,19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20
19,18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20
18,16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19
16,14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17
14,14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16
14,13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16
13,12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13
12,12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14
12,12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12
12,12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13
12,11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11
11,12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12
12,11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12,11
11,10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12,11,10
10,10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12,11,10,11
10,13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12,11,10,11,10
13,14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12,11,10,11,10,11
14,15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12,11,10,11,10,11,13
15,17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12,11,10,11,10,11,13,14
17,17,18,21,20,20,19,17,16,16,13,14,12,13,11,12,11,10,11,10,11,13,14,13
